match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
0,D,H,0.012108643415269828,"[1.63, 4.38, 5.3]",0.9878913565847302
1,H,A,0.026523798370058336,"[8.18, 5.84, 1.34]",0.9616887254311534
2,A,H,0.013004299534717673,"[1.16, 8.56, 16.22]",0.9491826371864858
3,D,A,0.008213084079836338,"[2.73, 3.36, 2.71]",0.9413869203801524
4,A,H,0.024044974221455764,"[1.35, 5.7, 8.25]",0.918751296147196
5,A,D,0.015723703203359567,"[2.47, 3.42, 2.97]",0.9043051234488756
6,D,A,0.0026442699036138516,"[2.49, 3.65, 2.8]",0.9019138966272559
7,D,H,0.00869376402275235,"[2.5, 3.4, 2.95]",0.8940728700411374
8,D,A,0.00672598643496884,"[4.19, 3.93, 1.84]",0.8880593480453671
9,H,D,0.02236865346813248,"[5.09, 4.39, 1.63]",0.8681946562298047
10,D,H,0.02382685144472947,"[2.51, 3.66, 2.76]",0.8475083111307091
11,D,A,0.01671275826223016,"[2.17, 3.68, 3.33]",0.8333441096015506
12,A,H,0.02070598373299352,"[1.84, 3.67, 4.56]",0.8160889000241549
13,A,H,0.008507214008248018,"[1.08, 13.21, 25.71]",0.8091462571018937
14,H,A,0.05260605130471547,"[2.59, 3.28, 2.92]",0.766580267587773
15,A,H,0.016051273312465888,"[1.45, 4.87, 7.03]",0.7542756781967783
16,H,A,0.016830121884126817,"[4.55, 3.98, 1.77]",0.7415811265984942
17,D,D,0.008005326065338015,"[3.05, 3.73, 2.28]",0.7577880411104323
18,H,A,0.035804946714922244,"[4.46, 4.03, 1.78]",0.7306554806772679
19,A,H,0.01869598731453801,"[1.25, 7.05, 10.11]",0.7169951550792281
20,D,D,0.012582395813364861,"[1.34, 5.87, 8.1]",0.7609299420777156
21,A,H,0.03201372030932747,"[1.79, 3.9, 4.51]",0.7365697437370469
22,H,A,0.009888739082458542,"[2.82, 3.38, 2.62]",0.7292859977251979
23,D,D,0.01882243175320468,"[3.14, 3.53, 2.32]",0.7640151456046962
24,H,A,0.014137093043118193,"[4.8, 4.09, 1.71]",0.7532141924049311
25,A,D,0.027997304334740198,"[2.02, 3.7, 3.71]",0.7321262254309246
26,H,A,0.022600781428046973,"[7.69, 5.64, 1.37]",0.7155796006322193
27,D,D,0.015081504090903275,"[1.63, 4.4, 5.06]",0.7522724573248452
28,A,H,0.01783764604017407,"[2.5, 3.96, 2.62]",0.7388536875053126
29,H,A,0.0369829493535531,"[3.93, 4.31, 1.82]",0.7115286990006177
30,H,A,0.02173551396718101,"[4.5, 4.13, 1.74]",0.6960632570254396
31,D,D,0.01972778630157963,"[1.38, 5.13, 8.05]",0.7527755381076643
32,A,D,0.013446075221712043,"[1.62, 4.13, 5.48]",0.7426536615972039
33,D,D,0.016083524703437567,"[2.4, 3.53, 2.97]",0.7728732175335683
34,A,A,0.011871848959922666,"[1.21, 7.23, 12.71]",0.880317550888223
35,A,H,0.011493452282837607,"[1.17, 8.43, 14.62]",0.8701996631233448
36,D,H,0.01605088987697551,"[1.51, 4.45, 6.48]",0.8562321841595708
37,H,A,0.007167337698328775,"[3.32, 3.97, 2.06]",0.8500952789475216
38,H,A,0.02133146013900601,"[3.03, 3.62, 2.32]",0.8319615053902953
39,H,A,0.02447319295345679,"[3.41, 3.71, 2.1]",0.8116007509390303
40,H,A,0.041386765747596685,"[3.59, 3.93, 1.99]",0.778011220779343
41,A,H,0.023793626949783347,"[1.59, 4.47, 5.44]",0.7594995120293738
42,D,H,0.012873508835916465,"[2.89, 3.54, 2.47]",0.7497220883503894
43,D,D,0.011921587438766106,"[2.54, 3.43, 2.88]",0.7714411305078251
44,A,H,0.013077725016000758,"[1.28, 6.36, 9.45]",0.761352435537011
45,D,D,0.010938022817884174,"[2.27, 3.5, 3.24]",0.7821716613178998
