match_index,strategy,bet_fractions,true_outcome,odds,wealth
48,complete,"[0.0, 0.007885368921905077, 0.010353914575394061]",D,"[1.79, 3.91, 4.51]",0.7460130352484751
49,complete,"[0.0, 0.0071148910591129115, 0.013724472367697357]",D,"[1.85, 3.66, 4.54]",0.7498931518823583
50,complete,"[0.014487173470138977, 0.0020272513044094385, 0.0]",D,"[5.18, 4.54, 1.6]",0.7444109051279063
51,complete,"[0.0, 0.0, 0.015262683449676283]",H,"[1.18, 8.27, 14.09]",0.7330491971264521
52,complete,"[0.0, 0.0008080560358096407, 0.025716386883441994]",D,"[2.23, 3.63, 3.22]",0.7157556872669373
53,complete,"[0.0, 0.014532492289331449, 0.013182272686590207]",H,"[1.75, 4.3, 4.32]",0.6959186866141549
54,complete,"[0.0, 0.02466337998430477, 0.0]",H,"[2.76, 3.35, 2.69]",0.6787549796080117
55,complete,"[0.0, 0.007904052392335464, 0.004619752806554656]",A,"[2.49, 3.32, 3.03]",0.6797554955383057
56,complete,"[0.02711775838396737, 0.0, 0.0]",A,"[8.09, 5.63, 1.36]",0.6613220502501239
57,complete,"[0.012608035451502901, 0.009011523385639635, 0.0]",D,"[4.34, 3.77, 1.85]",0.6694919463616226
58,complete,"[0.0, 0.0, 0.01826128518426573]",A,"[2.42, 3.9, 2.75]",0.6908870672435103
59,complete,"[0.0, 0.007747921273774543, 0.02453587407266546]",H,"[1.65, 4.37, 5.01]",0.6685826105571188
60,complete,"[0.024332616629845413, 0.0, 0.0]",A,"[6.38, 4.71, 1.5]",0.6523142462090511
61,complete,"[0.0, 0.0, 0.012438174504877915]",H,"[1.13, 9.46, 19.13]",0.644200647782685
62,complete,"[0.0, 0.0, 0.026281894508818838]",H,"[2.14, 3.62, 3.44]",0.6272698343151478
63,complete,"[0.02775857943737458, 0.00189716377677754, 0.0]",H,"[3.35, 3.63, 2.17]",0.6669982815898086
64,complete,"[0.0, 0.00973088766446982, 0.009193581986278851]",H,"[1.23, 7.15, 10.66]",0.6543756928527608
65,complete,"[0.0, 0.006942479046368054, 0.018625357863148655]",H,"[1.81, 4.02, 4.29]",0.6376447218603494
66,complete,"[0.0054123608887584225, 0.007980534238384322, 0.0]",D,"[3.18, 3.59, 2.27]",0.6473734094417839
67,complete,"[0.0, 0.022817608512566596, 0.0043806402228357385]",D,"[2.22, 3.87, 3.09]",0.6869317418071018
68,complete,"[0.0, 0.013842170889348283, 0.012753867814617773]",D,"[1.5, 4.81, 6.2]",0.7143985723657869
69,complete,"[0.0, 0.003173204568216581, 0.0]",H,"[2.95, 3.99, 2.25]",0.7121316395524283
70,complete,"[0.0, 0.0036893372204876216, 0.021721785957662776]",H,"[1.5, 5.01, 5.88]",0.6940355747407033
71,complete,"[0.0, 0.012299234952245441, 0.0]",A,"[2.46, 3.5, 2.94]",0.6854994681417507
72,complete,"[0.0, 0.025040968344561102, 0.0]",A,"[2.4, 3.43, 3.07]",0.6683338976597996
73,complete,"[0.0, 0.002355281682766914, 0.019205009966353395]",H,"[1.72, 4.37, 4.43]",0.6539244239072609
74,complete,"[0.0, 0.0038154034995467774, 0.011183836658631065]",A,"[2.01, 3.91, 3.55]",0.6700785674292199
75,complete,"[0.006149849035953098, 0.0, 0.0]",A,"[2.34, 3.53, 3.09]",0.6659576853973025
76,complete,"[0.02159098842872782, 0.0, 0.0]",H,"[5.01, 4.13, 1.68]",0.7236162109618389
77,complete,"[0.021262182001906018, 0.0, 0.0]",A,"[9.01, 5.92, 1.32]",0.7082305513848387
78,complete,"[0.0, 0.007665661166215958, 0.017780249701691793]",H,"[1.62, 4.47, 5.08]",0.690208979900371
79,complete,"[0.0, 0.004046659471899922, 0.010181032219831477]",H,"[2.41, 3.28, 3.19]",0.680388899331484
80,complete,"[0.027746049736828964, 0.0005024945539078993, 0.0]",A,"[3.14, 3.35, 2.43]",0.661168903373793
81,complete,"[0.0, 0.010863348841667175, 0.011012300439300671]",D,"[1.86, 4.0, 4.03]",0.6754354380905541
82,complete,"[0.0, 0.006207104208007605, 0.021577998727824014]",H,"[1.65, 4.35, 4.94]",0.6566683949166995
83,complete,"[0.0, 0.013106017535897116, 0.012915177862410893]",D,"[1.66, 4.34, 4.9]",0.6769324728465457
84,complete,"[0.0, 0.0, 0.01144217375523016]",H,"[1.1, 11.9, 20.73]",0.6691868938716778
85,complete,"[0.0, 0.02786672808554828, 0.0]",D,"[2.8, 3.38, 2.63]",0.7135692509913224
86,complete,"[0.0, 0.015116871006596373, 0.01602417821031049]",H,"[1.75, 4.35, 4.28]",0.6913479558265303
87,complete,"[0.009008191798867736, 0.0, 0.0]",H,"[4.05, 3.98, 1.86]",0.7103427305333438
88,complete,"[0.0, 0.0023271321555566947, 0.0]",H,"[2.94, 3.73, 2.35]",0.7086896691236537
89,complete,"[0.0, 0.04501582872049481, 0.0]",D,"[2.54, 3.4, 2.9]",0.7852550757506647
90,complete,"[0.015545767432982246, 0.0, 0.0]",H,"[3.85, 3.69, 1.99]",0.8200461451827525
91,complete,"[0.013894624545032395, 0.0007584785862117772, 0.0]",H,"[5.29, 4.48, 1.6]",0.8683054185856932
92,complete,"[0.0, 0.006689677506279127, 0.001615094135706955]",D,"[2.28, 3.63, 3.13]",0.8821798604839135
93,complete,"[0.0, 0.006564456003385163, 0.015400155726097117]",H,"[1.39, 5.54, 7.11]",0.8628031223728155
94,complete,"[0.0, 0.002919786846533131, 0.02652475951728607]",H,"[2.15, 3.51, 3.53]",0.8373982758332612
95,complete,"[0.0, 0.021472280369606005, 0.0]",H,"[2.7, 3.45, 2.69]",0.8194174252735448
96,complete,"[0.003239450991568416, 0.01047100736242678, 0.0]",D,"[2.55, 3.34, 2.92]",0.8368404572722138
