match_index,strategy,bet_fractions,true_outcome,odds,wealth
239,complete,"[0.024878240598170585, 0.0, 0.0]",D,"[7.36, 4.73, 1.45]",0.6916518751872393
240,complete,"[0.007688988172385385, 0.0005521862335555111, 0.0]",H,"[2.92, 3.65, 2.43]",0.701480712471776
241,complete,"[0.021969740200342102, 0.0, 0.0]",A,"[9.47, 5.42, 1.34]",0.6860693634632202
242,complete,"[0.0, 0.006557901328185281, 0.017175892489758787]",D,"[1.41, 5.02, 7.6]",0.692372194099187
243,complete,"[0.0, 0.007420872985934352, 0.0034380685170562002]",H,"[2.23, 3.38, 3.47]",0.6848537649451667
244,complete,"[0.0, 0.008696390963507362, 0.01968911245345762]",H,"[1.99, 4.09, 3.49]",0.6654138460601944
245,complete,"[0.029509640729847676, 0.0, 0.0]",A,"[6.01, 4.65, 1.52]",0.645777722526292
246,complete,"[0.0, 0.0, 0.012613361680401083]",A,"[2.43, 3.71, 2.83]",0.6606838557285387
247,complete,"[0.0, 0.022630683864865987, 0.008640767152374145]",A,"[1.79, 3.5, 5.17]",0.6695378883006338
248,complete,"[0.0, 0.0, 0.017802764169781053]",H,"[1.19, 8.22, 12.7]",0.6576182631724843
249,complete,"[0.0, 0.0, 0.019379327353194562]",H,"[2.46, 3.84, 2.73]",0.6448740635770255
