match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
0,D,H,0.009686914732215862,"[1.63, 4.38, 5.3]",0.9903130852677842
1,H,A,0.02121903869604667,"[8.18, 5.84, 1.34]",0.9692995935902857
2,A,H,0.010403439627774139,"[1.16, 8.56, 16.22]",0.9592155437871432
3,D,A,0.006570467263869071,"[2.73, 3.36, 2.71]",0.9529130494576954
4,A,H,0.019235979377164612,"[1.35, 5.7, 8.25]",0.9345828336900961
5,A,D,0.012578962562687654,"[2.47, 3.42, 2.97]",0.9228267512133779
6,D,A,0.0021154159228910815,"[2.49, 3.65, 2.8]",0.9208745888097912
7,D,H,0.006955011218201881,"[2.5, 3.4, 2.95]",0.9144698957140621
8,D,A,0.005380789147975073,"[4.19, 3.93, 1.84]",0.909549326023054
9,H,D,0.017894922774505984,"[5.09, 4.39, 1.63]",0.8932730110742675
10,D,H,0.01906148115578358,"[2.51, 3.66, 2.76]",0.8762459044067054
11,D,A,0.013370206609784129,"[2.17, 3.68, 3.33]",0.8645303156238106
12,A,H,0.016564786986394818,"[1.84, 3.67, 4.56]",0.8502095551022214
13,A,H,0.006805771206598414,"[1.08, 13.21, 25.71]",0.8444232233925318
14,H,A,0.04208484104377238,"[2.59, 3.28, 2.92]",0.8088858062623873
15,A,H,0.01284101864997271,"[1.45, 4.87, 7.03]",0.7984988885384737
16,H,A,0.013464097507301454,"[4.55, 3.98, 1.77]",0.7877478216437198
17,D,D,0.006404260852270412,"[3.05, 3.73, 2.28]",0.8015205147659465
18,H,A,0.028643957371937798,"[4.46, 4.03, 1.78]",0.7785617953082571
19,A,H,0.01495678985163041,"[1.25, 7.05, 10.11]",0.7669170101493235
20,D,D,0.01006591665069189,"[1.34, 5.87, 8.1]",0.8045120597088472
21,A,H,0.025610976247461975,"[1.79, 3.9, 4.51]",0.7839077204568472
22,H,A,0.007910991265966835,"[2.82, 3.38, 2.62]",0.7777062333269891
23,D,D,0.015057945402563744,"[3.14, 3.53, 2.32]",0.8073341980686874
24,H,A,0.011309674434494555,"[4.8, 4.09, 1.71]",0.7982035111286968
25,A,D,0.02239784346779216,"[2.02, 3.7, 3.71]",0.7803254738309942
26,H,A,0.01808062514243758,"[7.69, 5.64, 1.37]",0.766216701449561
27,D,D,0.01206520327272262,"[1.63, 4.4, 5.06]",0.7976482063129705
28,A,H,0.014270116832139258,"[2.5, 3.96, 2.62]",0.786265673217938
29,H,A,0.02958635948284248,"[3.93, 4.31, 1.82]",0.763002934361093
30,H,A,0.01738841117374481,"[4.5, 4.13, 1.74]",0.7497355256116485
31,D,D,0.015782229041263706,"[1.38, 5.13, 8.05]",0.7986037414660744
32,A,D,0.010756860177369635,"[1.62, 4.13, 5.48]",0.7900132726819995
33,D,D,0.012866819762750054,"[2.4, 3.53, 2.97]",0.8157306174081419
34,A,A,0.009497479167938134,"[1.21, 7.23, 12.71]",0.9064524904357495
35,A,H,0.009194761826270086,"[1.17, 8.43, 14.62]",0.8981178756793634
36,D,H,0.012840711901580407,"[1.51, 4.45, 6.48]",0.8865854027841052
37,H,A,0.0057338701586630205,"[3.32, 3.97, 2.06]",0.8815018371999752
38,H,A,0.01706516811120481,"[3.03, 3.62, 2.32]",0.8664588601578217
39,H,A,0.019578554362765434,"[3.41, 3.71, 2.1]",0.849494848261122
40,H,A,0.03310941259807735,"[3.59, 3.93, 1.99]",0.8213685728301034
41,A,H,0.019034901559826678,"[1.59, 4.47, 5.44]",0.8057339029019471
42,D,H,0.010298807068733172,"[2.89, 3.54, 2.47]",0.7974358048872225
43,D,D,0.009537269951012886,"[2.54, 3.43, 2.88]",0.8159168309989674
44,A,H,0.010462180012800608,"[1.28, 6.36, 9.45]",0.8073805622375824
45,D,D,0.00875041825430734,"[2.27, 3.5, 3.24]",0.8250428562625239
46,A,H,0.015754873288467107,"[1.55, 4.77, 5.48]",0.8120444106045529
47,D,D,0.007660203084069346,"[2.92, 3.76, 2.35]",0.8292127838764524
48,A,D,0.00828313166031525,"[1.79, 3.91, 4.51]",0.8223443052131871
49,A,D,0.010979577894157886,"[1.85, 3.66, 4.54]",0.8133153118582818
50,H,D,0.011589738776111183,"[5.18, 4.54, 1.6]",0.8038891998512329
51,A,H,0.012210146759741027,"[1.18, 8.27, 14.09]",0.7940735947424785
52,A,D,0.020573109506753597,"[2.23, 3.63, 3.22]",0.7777370317214201
53,D,H,0.01162599383146516,"[1.75, 4.3, 4.32]",0.7686950657881249
54,D,H,0.019730703987443816,"[2.76, 3.35, 2.69]",0.7535281709884507
55,D,A,0.006323241913868372,"[2.49, 3.32, 3.03]",0.748763430074376
56,H,A,0.021694206707173896,"[8.09, 5.63, 1.36]",0.7325196014475699
57,H,D,0.010086428361202321,"[4.34, 3.77, 1.85]",0.7251310949643925
58,A,A,0.014609028147412585,"[2.42, 3.9, 2.75]",0.7436696509739656
59,A,H,0.01962869925813237,"[1.65, 4.37, 5.01]",0.7290723830475974
60,H,A,0.01946609330387633,"[6.38, 4.71, 1.5]",0.7148801920139133
61,A,H,0.009950539603902332,"[1.13, 9.46, 19.13]",0.7077667483512335
62,A,H,0.02102551560705507,"[2.14, 3.62, 3.44]",0.69288558753762
63,H,H,0.022206863549899664,"[3.35, 3.63, 2.17]",0.729044604428249
64,D,H,0.007784710131575856,"[1.23, 7.15, 10.66]",0.7233692035097857
65,A,H,0.014900286290518925,"[1.81, 4.02, 4.29]",0.7125907952837454
66,D,D,0.0063844273907074575,"[3.18, 3.59, 2.27]",0.724373959340444
67,D,D,0.018254086810053277,"[2.22, 3.87, 3.09]",0.7623233526828949
68,D,D,0.011073736711478627,"[1.5, 4.81, 6.2]",0.7944864891310248
