match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
0,D,H,0.007265186049161897,"[1.63, 4.38, 5.3]",0.9927348139508381
1,H,A,0.015914279022035002,"[8.18, 5.84, 1.34]",0.9769361551267364
2,A,H,0.007802579720830604,"[1.16, 8.56, 16.22]",0.9693135328941982
3,D,A,0.0049278504479018026,"[2.73, 3.36, 2.71]",0.9645369007669683
4,A,H,0.014426984532873458,"[1.35, 5.7, 8.25]",0.9506215418182175
5,A,D,0.00943422192201574,"[2.47, 3.42, 2.97]",0.9416531672288556
6,D,A,0.0015865619421683108,"[2.49, 3.65, 2.8]",0.9401591761510081
7,D,H,0.00521625841365141,"[2.5, 3.4, 2.95]",0.9352550629382389
8,D,A,0.004035591860981304,"[4.19, 3.93, 1.84]",0.9314807552183038
9,H,D,0.013421192080879487,"[5.09, 4.39, 1.63]",0.9189791730828762
10,D,H,0.014296110866837682,"[2.51, 3.66, 2.76]",0.9058413449401687
11,D,A,0.010027654957338095,"[2.17, 3.68, 3.33]",0.8967578804870175
12,A,H,0.012423590239796112,"[1.84, 3.67, 4.56]",0.8856169280355388
13,A,H,0.005104328404948811,"[1.08, 13.21, 25.71]",0.8810964483938636
14,H,A,0.03156363078282928,"[2.59, 3.28, 2.92]",0.8532858454126975
15,A,H,0.009630763987479533,"[1.45, 4.87, 7.03]",0.8450680508216708
16,H,A,0.010098073130476089,"[4.55, 3.98, 1.77]",0.8365344918442447
17,D,D,0.004803195639202808,"[3.05, 3.73, 2.28]",0.8475037378317691
18,H,A,0.021482968028953345,"[4.46, 4.03, 1.78]",0.8292968421275108
19,A,H,0.011217592388722806,"[1.25, 7.05, 10.11]",0.8199941281832693
20,D,D,0.007549437488018916,"[1.34, 5.87, 8.1]",0.850141835966116
21,A,H,0.01920823218559648,"[1.79, 3.9, 4.51]",0.8338121141901895
22,H,A,0.005933243449475125,"[2.82, 3.38, 2.62]",0.8288649039255775
23,D,D,0.011293459051922807,"[3.14, 3.53, 2.32]",0.852547606111288
24,H,A,0.008482255825870916,"[4.8, 4.09, 1.71]",0.8453160792125182
25,A,D,0.016798382600844118,"[2.02, 3.7, 3.71]",0.8311161362952608
26,H,A,0.013560468856828184,"[7.69, 5.64, 1.37]",0.8198458118126216
27,D,D,0.009048902454541964,"[1.63, 4.4, 5.06]",0.8450694080607359
